transcript_id,ENCLB117FKX,ENCLB129EAK,ENCLB597ZOR,ENCLB925FOQ
FBsf0000918519,0,0,0,0
FBsf0000919233,0,0,1,0
FBsf0000764375,0,0,1,0
FBsf0000919232,0,0,1,0
FBtr0112854,0,0,0,0
FBtr0078079,0,0,0,0
FBtr0345429,0,0,59,63
FBsf0000917591,0,0,0,0
FBsf0000920025,0,0,0,0
FBsf0000920024,0,1,0,0
FBsf0000762257,0,0,1,1
FBsf0000762258,0,0,1,0
FBtr0078078,0,31,25,0
FBsf0000919343,0,0,0,0
FBsf0000918679,0,0,0,0
FBtr0078076,0,0,0,0
FBtr0332341,0,0,0,0
FBtr0345577,0,0,5,34
FBsf0000919499,0,0,1,0
FBsf0000766613,0,0,0,0
FBsf0000766612,0,0,0,0
FBsf0000767197,0,0,0,0
FBsf0000916164,0,0,0,0
FBsf0000588256,0,0,0,0
FBsf0000588257,0,0,0,0
FBsf0000767086,0,0,0,0
FBsf0000767085,0,0,0,0
FBtr0310022,0,0,0,0
FBsf0000918886,0,0,0,0
FBtr0333746,0,0,0,7
FBtr0346726,0,0,12,13
FBtr0346650,0,0,8,3
FBsf0000918267,0,0,1,0
FBsf0000765437_1,0,0,0,0
FBsf0000765437_2,0,0,0,0
FBsf0000765436_1,0,0,0,0
FBsf0000765436_2,0,0,0,0
FBsf0000767411,0,1,1,0
FBsf0000918237,0,0,1,0
FBsf0000767412,0,0,0,0
FBtr0347398,0,0,7,0
FBtr0343220,0,0,0,0
FBtr0343221,0,0,0,0
FBtr0347397,0,0,0,0
FBtr0445834,0,0,0,0
FBsf0000767713,0,0,0,0
FBsf0000917700,0,0,0,0
FBsf0000767714,0,0,0,0
FBsf0000588720,0,0,0,0
FBsf0000588719,0,0,0,0
FBtr0343219,0,0,0,0
FBtr0310101,0,0,16,3
FBtr0308305,0,0,11,8
FBsf0000919125,0,0,1,0
FBtr0343248,0,0,0,3
FBtr0343250,0,0,0,0
FBsf0000919124,0,0,1,1
FBtr0077999,0,0,24,40
FBsf0000916167,0,0,0,0
FBtr0345777,0,0,0,0
FBtr0343249,0,0,0,0
FBsf0000918951,0,0,0,0
FBtr0344054,0,0,27,0
FBtr0306539,43,0,0,88
FBtr0306536,900,1,20,0
FBtr0078100,978,1090,75,0
FBsf0000918922,1,1,1,1
FBtr0344052,30,24,13,0
FBtr0306540,1,3,0,4
FBtr0078101,47,104,26,12
FBtr0302164,619,175,0,0
FBtr0301733,232,212,0,0
FBsf0000763738,1,1,0,1
FBtr0306541,2,0,7,9
FBtr0078103,1954,1143,19,17
FBtr0078104,937,758,174,79
FBtr0330636,47,21,0,0
FBsf0000917443,1,1,1,1
FBtr0301452,484,362,128,116
FBsf0000764552,1,1,1,0
FBtr0089437,1,0,12,119
FBtr0089428,470,593,0,0
FBtr0089429,447,143,88,0
FBtr0308091,19,23,6,0
FBtr0330656,79,0,0,0
FBtr0089430,839,299,92,0
FBtr0089432,540,931,0,172
FBtr0089431,370,603,0,26
FBtr0089433,55,25,170,23
FBtr0089434,1962,1737,0,7
FBtr0089435,1472,572,0,0
FBsf0000918402,1,1,1,1
FBtr0306542,149,55,0,122
FBtr0330638,50,29,0,0
FBtr0330639,7,8,0,0
FBtr0078160,3,0,7,8
FBtr0336838,0,0,6,0
FBtr0078159,8,21,9,3
FBsf0000916937,1,0,0,0
FBtr0100379,1123,834,719,37
FBtr0078155,12,0,0,0
FBsf0000916282,1,1,1,1
FBsf0000588854,1,1,1,1
FBtr0078114,2989,2225,88,129
FBtr0300568,63,216,60,170
FBtr0078115,10,25,14,3
FBsf0000764212,1,1,1,1
FBtr0330645,11,26,25,95
FBtr0078116,140,144,84,132
FBsf0000915546,1,1,1,1
FBsf0000915545,1,1,1,1
FBtr0301929,25,24,160,186
FBsf0000916669,1,1,0,0
FBtr0078147,125,80,35,248
FBtr0330641,48,90,175,427
FBtr0078118,72,73,1,20
FBtr0078117,30,23,15,240
FBtr0301887,17,24,0,0
FBsf0000917974,1,1,1,1
FBtr0340650,231,83,20,60
FBtr0078119,722,431,22,0
FBsf0000916566,1,1,1,1
FBtr0091612,55,34,11,20
FBsf0000762579,1,1,0,1
FBtr0078121,8,0,0,53
FBtr0332337,6159,3964,0,0
FBtr0078123,4717,2673,0,0
FBtr0330653,222,0,0,0
FBsf0000919986,1,1,0,0
FBtr0078124,461,368,133,751
FBsf0000919160,1,1,1,1
FBtr0308246,8,10,15,0
FBtr0332338,436,3,88,46
FBtr0332339,479,919,140,114
FBtr0078125,444,15,49,116
FBsf0000763894,1,1,1,1
FBtr0299837,9889,8380,792,650
FBtr0078144,3744,0,0,0
FBtr0308255,1630,514,0,0
FBtr0078145,231,19,0,0
FBtr0308253,382,630,6,0
FBsf0000919084,1,1,1,0
FBtr0336987,4,0,10,0
FBtr0336990,38,57,20,58
FBsf0000766811,1,1,0,0
FBtr0078143,160,76,0,0
FBsf0000918372,1,1,1,1
FBtr0078140,391,312,0,0
FBtr0078141,198,142,0,0
FBtr0308252,2,3,69,33
FBtr0078142,4,1,39,2
FBtr0078127,3,0,3553,5789
FBtr0078139,3700,2661,265,265
FBsf0000919186,1,1,1,1
FBtr0343777,102,168,94,0
FBtr0078128,1697,870,123,76
FBtr0330650,1203,892,188,288
FBtr0300804,611,251,72,35
FBtr0330649,270,187,26,0
FBsf0000916013,1,1,1,1
FBsf0000588047,1,1,1,0
FBtr0078129,1937,1593,69,24
FBsf0000765734,1,1,1,1
FBsf0000765735,1,1,1,0
FBsf0000768393,1,1,1,0
FBsf0000919410,1,1,1,0
FBsf0000768394,1,1,0,0
FBtr0343780,106,88,50,48
FBtr0078137,32,22,56,170
FBtr0343779,12,12,70,82
FBsf0000915551,1,1,1,1
FBtr0078136,24,8,135,363
FBtr0078135,11,0,0,0
FBsf0000916604,1,1,1,1
FBtr0078134,1,2,2,10
FBtr0330647,1,2,2,10
FBtr0078130,444,308,3771,6188
FBtr0333408,492,285,138,378
FBtr0078133,603,492,343,34
FBtr0078131,9693,6367,1590,2473
FBtr0331205,2322,1752,0,0
FBtr0331208,1666,815,141,0
FBtr0331206,28,16,15,145
FBsf0000770225,1,1,1,1
FBsf0000770226,1,1,1,1
FBtr0078047,1926,499,0,0
FBtr0078049,347,0,78,120
FBtr0078050,0,434,0,0
FBsf0000910662,1,1,1,1
FBsf0000766426,1,1,1,1
FBtr0078099,6,0,10,106
FBtr0078098,3,0,145,471
FBsf0000766427,1,1,1,1
FBsf0000768619,1,1,1,1
FBtr0330696,2,0,17988,12961
FBsf0000918212,1,1,1,0
FBtr0078094,287,167,23,64
FBtr0330651,119,97,0,0
FBtr0078093,11,5,435,372
FBsf0000916641,1,0,1,0
FBtr0078054,689,605,28,87
FBsf0000918221,1,1,0,0
FBtr0089488,3238,2484,245,379
FBtr0089489,1,0,7,0
FBsf0000920399,1,1,0,0
FBtr0078055,5879,3870,341,226
FBsf0000918969,1,1,1,1
FBtr0078090,661,419,5,0
FBsf0000915736,1,1,0,0
FBsf0000910632,1,1,1,0
FBtr0078056,11476,7475,1895,6059
FBtr0331932,1728,2325,347,621
FBsf0000761992,1,1,1,1
FBtr0078089,228,163,532,483
FBsf0000915561,1,1,1,1
FBtr0078059,336,179,85,50
FBtr0078087,1652,1151,182,130
FBtr0331232,1246,799,52,0
FBtr0304741,1,0,0,0
FBtr0078060,1328,985,637,960
FBsf0000917344,1,1,1,1
FBtr0305350,314,236,68,183
FBtr0310034,39,24,113,35
FBtr0078062,957,665,200,337
FBsf0000917889,1,1,1,1
FBsf0000588446,1,1,1,0
FBtr0078083,1004,865,41,0
FBtr0078084,25,19,2,50
FBsf0000767734,1,1,1,1
FBsf0000918862,1,1,1,0
FBsf0000767733,1,1,1,0
FBtr0310027,532,418,0,0
FBtr0347589,25,28,12,0
FBtr0347590,17,55,11,0
FBsf0000768132,1,1,0,0
FBtr0310028,1,1637,1,0
FBtr0078082,164,33,19,0
FBtr0078081,3233,1818,968,1034
FBtr0310029,1238,275,375,0
FBsf0000919151,1,1,1,1
FBtr0078080,1267,997,1030,1209
FBtr0344014,18,16,66,7
FBtr0078064,1,0,13,67
FBsf0000764922_1,1,0,1,0
FBsf0000764922_2,1,0,1,0
FBsf0000764923_1,1,0,1,0
FBsf0000764923_2,1,0,1,0
FBtr0303763,284,124,232,288
FBtr0078066,441,445,144,662
FBtr0332342,7,0,99,37
FBtr0078067,180,131,649,1450
FBsf0000767198,1,1,1,1
FBtr0078075,209,185,88,225
FBsf0000918036,1,1,1,1
FBtr0332340,1015,354,133,381
FBtr0078068,829,918,125,0
FBsf0000918438,1,1,1,1
FBtr0078074,1202,894,53,118
FBsf0000917790,1,1,0,0
FBtr0078069,638,411,103,157
FBtr0078070,4,4,16,0
FBtr0078071,113,68,11,31
FBtr0310023,49,17,0,0
FBsf0000915735,1,1,1,1
FBtr0077998,4,0,45,37
FBtr0078045,12,7,18,0
FBsf0000917752,0,0,1,1
FBtr0078000,2,0,9139,7430
FBtr0078043,0,0,0,0
FBtr0301317,0,0,0,0
FBsf0000769795,0,0,0,0
FBsf0000917565,0,0,0,0
FBsf0000769796,0,0,0,0
FBsf0000769938,0,0,0,0
FBtr0301316,24,8,19,0
FBsf0000769937,1,0,0,0
FBtr0308257,0,0,0,0
FBtr0343787,0,0,0,0
FBtr0301439,0,0,0,0
FBtr0078001,0,0,0,0
FBtr0343786,0,0,0,0
FBtr0346526,0,0,99,0
FBsf0000764894_1,0,0,0,0
FBsf0000764894_2,0,0,0,0
FBsf0000764895_1,0,0,0,0
FBsf0000764895_2,0,0,0,0
FBsf0000917629,0,0,0,0
FBtr0342660,0,0,27,12
FBtr0078003,0,0,1965,2247
FBtr0078004,0,0,2713,4154
FBtr0078005,0,2,2445,3120
FBsf0000915754,0,0,0,0
FBtr0078006,0,0,12,0
FBtr0331651,0,0,0,0
FBsf0000917674,0,0,0,0
FBtr0078007,0,0,619,1006
FBtr0331652,0,0,668,603
FBsf0000916590,0,0,1,1
FBsf0000918209,0,0,0,1
FBsf0000767499,0,0,1,1
FBtr0345453,0,0,0,0
FBsf0000918173,0,0,0,0
FBtr0078040,0,0,81,0
FBsf0000915960,0,0,0,0
FBsf0000918131,0,0,0,0
FBsf0000916623,0,0,0,0
FBtr0078014,0,59,0,0
FBtr0078015,0,0,870,0
FBtr0302121,0,0,0,0
FBtr0302120,0,0,79,726
FBtr0078037,0,0,0,0
FBsf0000918950,0,0,0,0
FBtr0334793,0,0,18,36
FBsf0000916749,0,0,0,0
FBsf0000770175,0,0,0,0
FBsf0000919089,0,0,0,0
FBsf0000920023,0,0,0,0
